text,label,text1,text2
雀巢裁员4000人：时代抛弃你时，连招呼都不会打！,0,雀巢裁员4000人：时代抛弃你时，连招呼都不会打。,雀巢裁员4000人，时代抛弃你时，连招呼都不会打！
美国“未来为”子公司大幅度裁员，这是为什么呢？任正非正式回应,0,美国未来为子公司大幅度裁员，这是为什么呢？,美国任正非为什么被禁止裁员？
这一全球巨头“凉凉” “捅刀”华为后 裁员5000 现市值缩水800亿,0,华为被裁员，现市值缩水，华为为什么还能成为巨头,华为被裁员后市值缩水到了多少
被证实将再裁员1800人 AT&T在为落后的经营模式买单,0,被证实将再裁员1800人，at& t在为落后的经营模式买单，是什么意思？,at& t将裁员1800人，是否会是一个巨大的裁员
又一网约车巨头倒下：三个月裁员835名员工，滴滴又该何去何从,0,又一网约车巨头倒下，滴滴司机怎么回应，又要裁员多少名,如何看待滴滴网约车倒闭，三个月裁员835员工
8月20日消息，据腾讯新闻《一线》报道，知情人士表示，为了控制成本支出，蔚来计划将美国分公司的人员规模除自动驾驶业务相关人员外，减少至200人左右。截至美国时间8月16日，蔚来位于美国硅谷的分公司已裁减100名员工。,0,腾讯新闻《一线》报道：为了控制成本支出，蔚来计划将美国分公司的人员规模,腾讯新闻：为了控制成本支出，蔚来计划将美国分公司人员规模除去
最近，一位前便利蜂员工就因公司违规裁员，将便利蜂所在的公司虫极科技（北京）有限公司告上法庭。,0,便利蜂公司的员工被公司裁员是什,便利蜂公司员工为何要裁员？
思科上海大规模裁员 人均可获赔100万 官方澄清事实,0,思科上海大规模裁员人均可获赔100万官方澄清事实,上海思科大规模裁员人均可获赔100万是真的吗
日本巨头面临危机，已裁员1000多人，苹果也救不了它！,0,日本巨头面临危机，已裁员1000多人，苹果也救不了它,日本巨头面临危机已裁员1000多人，苹果也救不了它
在硅谷镀金失败的造车新势力们：蔚来裁员、奇点被偷窃、拜腾解散,0,在硅谷镀金失败的造车新势力们：奇点被偷窃，拜腾,在硅谷镀金失败的造车新势力们，奇点被偷窃了，拜腾会被
武汉HR暴力裁员：你一味逢迎的样子，真丑！,0,武汉hr暴力裁员：你一味逢迎的样子，真丑？,武汉hr暴力裁员，你一味逢迎的样子。你真丑？
美国网约车巨头Uber（优步）周二宣布，该公司已在旗下产品和工程团队裁员435人。,0,美国网约车巨头uber（优步）周二宣布，该公司已在旗下产,美国uber（优步）宣布，该公司已在旗下产品和工程团队
蔚来创始人、CEO 李斌今天发布内部邮件，表示公司将 “进一步控制支出，提升运营效率，把资源聚集在核心业务上”，同时，9 月底前裁员至 7500 人左右。,0,蔚来公司ceo李斌发出内部邮件表示将进一步控制支出，提升营销效率，对吗？,蔚来ceo李斌，将进一步控制运营，提升业务效率，把资源聚集到核心业务上，这话怎么说
百年老店福特宣布裁撤7000员工 约占全球带薪劳动力10%,0,福特宣布裁员7000员工约占全球带薪劳动力10%,百年老店福特宣布裁员工，全球带薪劳动力10% ，怎么办？
美媒：华为美国公司将大裁员 预计影响约850名员工,0,美媒：华为美国公司裁员预计影响约850名工人,美媒：华为将裁员将影响850名员工，为什么
突发！蔚来汽车宣布裁员1200人,0,蔚来汽车宣布裁员1200人，是真的吗,蔚来汽车裁员了吗
据36氪报道，近日，多名蔚来汽车离职员工透露，蔚来汽车正陆续裁员。,0,36氪报道，近日，多名蔚来汽车离职员工透露，蔚来,36氪报道，近日，多名蔚来企业员工陆续裁员。
全球第一手机巨头在华彻底凉凉，开始大量裁员，用户都几乎跑光了,0,中国第一手机巨头在华彻底凉凉，开始大量裁员，用户都跑光了。,全球第一的手机巨头在华彻底凉凉，开始大量裁员了，用户
5月14日，据《印度经济时报》报道，IBM将裁员300人，主要集中在软件服务部门。,0,5月14日，据《印度经济时报》报道，ibm将裁员300人，主,印度经济时报：ibm裁员300人，主要集中在哪些地方
踢球行经商不行，拉姆投资公司大量裁员面临倒闭,0,拉姆投资公司的裁员事件,拉姆投资公司为什么要裁员？
福特欧洲裁员1.2万人 与大众合作有望扩大,0,福特欧洲裁员1.2万人与大众合作有望扩大？,福特欧洲裁员1万2万与大众合作有望扩大扩大
根据记者报道，多位消息人士透漏，骑士交易JR史密斯未果，最终将其裁掉，上赛季詹姆斯西游之后，骑士竞争力大不如从前，球队开始出现震荡，就连冠军教头泰伦卢也被裁员，之后JR史密斯被弃用，直到赛季末期都没有比赛，上赛季仅仅打了11场比赛。,0,骑士交易史密斯，詹姆斯西游，骑士是否将其裁掉，如果不裁掉，骑士还有机会吗,骑士队史密斯被詹姆斯西游裁掉，球队会不会有什么不好的影响
这是该公司今年在美国进行的第二轮裁员，今年5月，蔚来曾裁员70名员工，关闭了位于旧金山的一个办公室。,0,美国蔚来公司裁员了吗？,蔚来在美国进行第二轮裁员
又一全球科技巨头在中国“陨落”？中国区大幅裁员，曾与微软齐名,0,又一全球科技巨头在中国陨落，曾与微软齐名，中国区,又一全球科技巨头在中国陨落，曾与微软齐名
优步“史上最大”规模裁员：营销部门裁400人,0,"优步"" 史上最大裁员"" 是怎么回事",优步裁员规模最大的是谁？
被特朗普“戏耍”，丧失41亿建厂优惠，还被迫裁员，郭台铭失算了,0,被特朗普戏耍，还被迫裁员，郭台铭失望了吗？,特朗普被特朗普砍掉41亿建厂，郭台铭为什么被裁员
勇士裁掉三冠功勋老将！成功省钱到土豪线以下,0,勇士裁掉三冠功勋功勋老将！成功省钱到土豪线以下！,勇士三冠功勋老将是谁
据CNBC报道，美国企业IT服务巨头IBM公司周四证实，该公司将实施裁员一千多人，这证实了当天早些时候在线留言板TheLayoff上出现的裁员消息。,0,美国it公司在线留言板thelayoff被裁员的真实原因是？,美国it公司ibm将实施裁员，是否可能实施在线留言板
裁员4000，关店1000，又一商超巨头自身难保了,0,裁员4000，关店1000，又一商超巨头自身难保了吗,商超巨头为什么要裁员4000，关店1000
Keep称裁员是公司正常运营现象，我是不信的,0,keep裁员是公司正常运营现象，我是不信的,keep被裁员是不是真的
甲骨文开启“裁员”模式 精兵简政能否换来“云端”进步,0,甲骨文将开始裁员，精兵简政，是不是就是云端,甲骨文开启裁员模式，精兵简政是怎么回事
半年狂赚900亿却被迫裁员，“插刀”华为成汇丰最大梦魇,0,为什么汇丰被迫裁员，插刀华为成汇丰最大梦魇,华为被裁员了，是不是华为成了最大的骗局
快狗打车裁员风波背后，同城货运难题待解,0,快狗公司倒闭后，同城货运公司怎么解决这个问题,快狗打车裁员事件，为什么快狗会被裁员
通用汽车泰国裁员350人，占员工总数的15%左右,0,泰国通用汽车裁员，公司要求赔偿多少,中国公司裁员350人，是否有可能是通用汽车的
甲骨文中国裁员引发员工不满，N+6赔偿真的“良心”么？,0,甲骨文中国裁员引发员工不满，n+6赔偿真的良心么？,甲骨文中国裁工引发员工不满，n+6赔偿真的良心么？
外媒：IBM最新裁员1700人,0,外媒：ibm最新裁员1700人，是怎么回事,外媒：ibm裁员1700人是真的吗
裁员4000人，法系车或将退出中国市场 评论区炸了,0,法系车将将退出中国市场评论区炸了吗？,法系车将退出中国市场，你怎么看
美国最大在线券商嘉信理财（Charles Schwab）发言人周二宣布，该公司将裁员约600人。这位发言人在一份电子邮件声明中说：“受影响的职位涵盖了公司所有的员工级别，以及整个公司的组织和地点。”,0,美国最大在线银行（charles schwab）发言人周二宣布，该公司将裁员600人。这位发言人在一份电子邮件声明中说：受影响的职位,美国最大在线券商charles schwab（charles schwab）将裁员约600人。这位发言人是谁呢？
北京时间5月24日，据当地媒体《慕尼黑信使报》消息：前拜仁和德国国家队队长拉姆投资的公司大量裁员，存在倒闭风险。,0,拜仁在哪里裁,当地媒体《慕
近日新闻报道，西门子宣布计划未来几年在油气与电力集团全球裁员2700人，这一裁员数量约占该业务集团全球6.4万名员工的4％。,0,西门,在西
其实中国自主新能源汽车里面，目前能拿出手的并不多，但论档次来讲，蔚来还是比较高端的，不仅是内外和用料，价格方面也挺不接地气的。而目前据美国当地媒体报道，中国蔚来在加州的机构进行了一部分的裁员。,0,其实中国自主新能源汽车里面，最好的suv是蔚来还是蔚来，不要说内外都是外观的，不要说外观都挺好看的，但是不是内饰，,中国的新能源汽车都有哪些档次，但价格却不低，但是内外性价比高
三星在华最后一家手机厂裁员；特斯拉在京免费租车牌,0,三星在华最后裁员；特斯拉在京免费租车牌是真的嘛？,特斯拉在京免费租车牌，为什么三星不收费
900名被裁员工正式告别甲骨文，那些离开外企的人都去哪了？,0,甲骨文离开外企，那些被辞退的员工都去哪儿了？,被裁员工离开甲骨文，那些离开了中国的都在哪里？
裁员1200人，Uber可以将其损失减少10-20％，Uber正在计划在剩余现金用完之前解决其余问题，当然包括自动驾驶汽车落地。,0,uber在计划减少剩余,uber可以将其损失减
伊起租：受“实体名单”风波影响，华为在美研发公司将裁员600人,0,"伊起租：受"" 实体名单"" 风波影响，华为在美研发公司将裁",伊起租：华为裁员了多少人，华为裁员了多少人
 据Finance Magnates周一（7月8日）报道，德意志银行今日开始大裁员，但其外汇部门基本没有受到影响。上周末该银行宣布将执行新一轮的重整，将裁员1.8万人。,0,finance magnates今日（7月8日）开始大裁员，但其外汇部门基本没有受到新一轮,德意志银行今天（7月8日）公布大裁员，其他外汇部门宣布将执行新一轮外汇部门。
受实体清单影响：华为招募天价天才和美国子公司裁员600余人！,0,华为招募天价天才和美国子公司裁员600余名,华为招募天价天才和美国子公司裁员600余人是什么情况
从甲骨文裁员说起,0,甲骨文裁员的原因,甲骨文为什么会裁员
美企裁员数万人，硅谷对白宫表态：停止“科技战”？,0,美企裁员数万人，硅谷对白宫表态：停止科技战？,美企裁员，美企裁员数万人，硅谷对白宫表态：停止
随着去年通用大规模裁员之后，福特也加入了裁员之列，缩减自身规模以应对利润下滑。据央视网消息，全球第二大汽车制造商福特对外宣布，8月底将完成全球裁员约7000名白领，占目前福特全球7万名带薪员工的10%，届时，福特汽车的管理层架构将精简近20%。,0,通用汽车在全球大规模裁员之后，福特也加入裁员之列，对吗？,全球第二大汽车制造商福特对外宣布全球裁员，福特为什么不能进行全球裁员
5月31日，位于朝阳门外大街甲6号万通中心AB座办公楼的韬蕴资本会议室内，十几位近日被裁员的客服部门员工在此索要易到拖欠的工资，并商讨住房公积金及劳动补偿的问题。,0,朝阳门内万通中心a座办公楼内的韬蕴资本会议室，员工在此拖欠工资，易到的工资会被拖欠吗,易到员工在万达广场5月31号（地铁站）位于朝阳门外大街甲6号，万通会议室内吗？
化工巨头巴斯夫全球裁员6000人，行业不景气所迫还是应对盈利下滑的自救,0,化工巨头巴斯夫全球裁员6000人，行业下滑的自救还是应对盈利,化工巨头巴斯夫全球裁员6000人，是行业不景气所迫的自救
北京时间7月10日，据报道，金州勇士队已经裁掉了33岁控卫肖恩-利文斯顿，而利文斯顿并不打算退役。,0,勇士的33岁控卫肖恩·利文斯顿,17年7月10日，金州勇士队的控
蔚来效仿特斯拉，美国工厂提前裁员,0,蔚来为什么不能效仿特斯拉,特斯拉是怎样解决美国工厂提前裁员的
近日，世界级软件公司甲骨文公司在中国区裁员的消息引爆了科技圈，很多人都在关注甲骨文怎么裁员，给的裁员补偿是什么，又或者是因为甲骨文创始人所说的：“不能让中国培养比美国还多的工程师”，而怀疑是否是美国科技企业对于中国科技发展的打击。,0,甲骨文在中国的裁员事件，很多人都在关注，是不是真的？,甲骨文公司被裁员了，是不是很多人都关注了
GameStop大幅裁员 连旗下杂志编辑也被裁掉近半,0,gamestop的编辑被裁员了怎么办,gamestop被裁员了吗
每日房地产简报｜澳洲地产圈打响裁员战：行业进入稳定期 人才需求减少,0,每日房产简报｜澳洲地产圈打响裁员战：行业进入稳定期人,每日房地产简报：澳洲地产圈打响裁员战，为何行业需求
裁员1.8万！昔日巨头德银宣布激进重组方案，耗资逾500亿，求生之举能否成功？,0,德银股票宣布裁员，遭遭激进重组，求生之举能成功吗,昔日巨头德银宣布激进重组方案，究竟会成功多少？
近日，德意志银行发表了一份重组计划，将裁撤大量交易部门，在全球裁员约1.8万人，重组所耗资在2022年底累计将达74亿欧元，折合人民币572亿元。,0,德意志银行发表了一份重组计划，将裁减大量交易部门，在全球累计损失将将达到74亿欧元，,德意志银行在2020年裁员1.8万亿欧元，在全球裁员多少？
NBA自由球员市场大门一开，虽然很多球星都拿到了过亿薪资合同，但是也有不少球星无人问津。此前宣布退役老将帕克也在自由市场开启的第三天，被黄蜂队正式裁掉，黄蜂队选择在7月4号来临之前裁掉帕克，可以少付525万美元的薪水给帕克。,0,nba球员市场大门大开，球队球员都有谁，帕克是否在自由市场退役了,nba球员都有哪些退役后，帕克在自由市场的薪酬
9月20日消息，据外媒报道，宝马公司计划到2022年底前在德国裁员近6000人，作为其正在进行的削减成本计划的一部分。,0,9月20日消息，外媒,宝马公司在2022年将裁
徕卡CEO Matthias Harsch近日在接受采访时表示，莱卡在过去几年里已经裁掉了1/8的员工。,0,徕卡ceo matthias harsch在几年里面裁掉了1/8的,徕卡ceo matthias harsch近日在接受采访时说，莱卡
分析师被裁后把老东家告上法庭！高大上的券商研究所 却成了劳资纠纷高发地,0,分析师被裁后把老东家告上法庭！高大上的券商研究所却成了,分析师被裁后把老东家告上法庭！为什么
WeWork计划最快本周裁员2000人 占公司职员总数13%,0,wework计划最快本周本月裁员2000人占公司职员总数13%,wework计划最快本周裁员2000人是什么意思
 北京时间7月11日早间消息，据美国科技媒体The Verge报道，今天早些时候，中国电动汽车创企Seres（原名为SF Motors）在员工会议上宣布，该公司将在硅谷办公室裁员90人。,0,美国科技媒体the verge报道，今天早些时候中国电动汽车创企sf motors在会上宣布，该公司的ceo是谁?,北京时间the verge报道，今天早些时候，中国电动汽车创企sf motors在员工会议上宣布，该企业在员工会议上宣布，是否有人在在员工会议上宣布自己
宝马“大换血”：裁员6000人 继续扩大自驾和电动化团队,0,宝马大换血：裁员6000人继续扩大自驾和电动化团队,宝马大换血将裁员6000人？
西门子裁员万人，中年危机从追求稳定开始！,0,西门子裁员万人，中年危机从追求稳定开始,西门子裁员，中年危机从追求稳定开始！
甲骨文大量裁员的背后反映另一个经济学理论——“替代效应”。,0,甲骨文大量裁员的背后反映另一个经济学理论替代效应,甲骨文大量裁员的背后反映另一个经济学理论
"7月22日消息，据外媒报道，福特汽车公司宣布，将于今年9月份在其位于加拿大安大略省奥克维尔的制造工厂裁员约200人，并可能于明年1月份进一步扩大裁员规模。福特奥克维尔工厂目前大约雇佣了4,600名员工。福特将此次裁员归咎于奥克维尔工厂生产的福特Flex以及林肯MKT两款车型的销量下滑；此外，奥克维尔工厂产量最高的福特Edge车型不再在一些欧洲市场出售，也是的另一个原因。",0,7月22日，福特汽车宣布，将于今年7月份在其位于奥克维尔的制造工厂裁员约200人，这是为什么？,福特汽车宣布宣布将于今年9月份在奥克维尔的工厂裁员约200人
据活塞跟队记者James Edwards III报道，球队已裁掉特雷肖-瑟曼，签下特拉德翁-霍林斯（如上图所示）。,0,活塞队特拉德翁-霍林斯，特拉德翁-,球队已裁出特雷肖-瑟曼，特拉德翁-
在今天早晨稍早时候，NBA著名记者Shams Charania报道，多位消息人士透露，骑士使用延伸条款裁掉JR-史密斯，目前JR史密斯已经成为了自由球员。,0,nba著名记者shams charania报道，多位消息人士透露，jr史密斯已经裁掉jr史密斯,nba的著名记者shams charania报道，nba的消息人士透露，jr史密斯已经裁掉jr史密斯
莫雷连裁两人,0,莫雷的连裁是谁,莫雷连裁为什么叫莫雷
惠普为削减成本、提振销售将裁员至多16%,0,惠普为削减成本提振销售将削员至多16%,惠普为削低成本提振销售，裁员至多16% ，惠普为什么要
10月24日，Keep开始了一轮大裁员，此次裁员涉及人数或有两三百人，甚至可能更多。,0,10月24日keep大裁员，此次裁员涉及几百人，甚至更多,keep开始一轮大裁员，此次裁员涉及多少人，甚至可能多
“程序员节”Keep突然裁员，或涉及两三百人,0,程序员节keep突然裁员，或涉及三百人,为什么程序员节keep突然裁员，或涉及两三百人
徕卡裁员100人 要把重点转向人工智能技术,0,徕卡裁员100人要把重点转向人工智能技术是真的么,徕卡要裁员100人了，要不要把人工智能转向人工
美国最大在线券商嘉信理财裁员约600人 此前放弃加密货币业务,0,美国最大在线券商嘉信理财裁员约600人此前放弃加密,嘉信金融理财是否有加密货币业务
据外媒报道，印度最大的汽车制造商之一马恒达宣布推迟投资计划，并表示，由于汽车行业长期负增长，该公司本财年将裁员1500人。,0,马恒达,印度最
官方：尼克斯裁掉后卫阿米尔-辛顿,0,阿米尔辛顿为什么要裁掉尼克斯？,阿米尔辛顿是尼克斯队的什么球员
新浪美股10月8日讯， 知情人士称，在德意志银行裁员18，000人的计划中，其中大约一半裁员拟在德国实施，该行依赖于零售业务削减开支来降低成本。,0,德意志银行在10月8日宣布裁员20，000人，其中大约一半被裁员，该行是否是真的？,在知情人士称，在德意志银行在德国实施削减业务，该行会被削减多少
据报道，全球网约车巨头优步(Uber)周一宣布，在全球裁员约400人，主要集中在市场营销部门。,0,优步(uber) 宣布全球裁员约400人，原因是什,uber宣布全球网约车巨头uber全球裁员400人，是
随队记者：猛龙裁掉前锋萨加巴-科纳特,0,猛龙为什么会裁掉前锋萨加巴-科纳特,猛龙为什么要裁掉萨加巴-科纳特
